SensorType,Data,DateTime,SerialNumber,HubName
Soil Temperature (°C),21.99,2020-02-03 12:23:32 AM,559095,hub2
Soil Temperature (°C),22.05,2020-02-03 12:23:33 AM,559095,hub2
Soil Temperature (°C),21.99,2020-02-03 12:23:34 AM,559095,hub2
Soil Temperature (°C),22.06,2020-02-03 12:23:38 AM,559095,hub2
Soil Temperature (°C),21.96,2020-02-03 12:23:39 AM,559095,hub2
Soil Temperature (°C),21.99,2020-02-03 12:23:40 AM,559095,hub2
Soil Temperature (°C),22.09,2020-02-03 12:23:41 AM,559095,hub2
Soil Temperature (°C),21.98,2020-02-03 12:23:42 AM,559095,hub2
Soil Temperature (°C),22.06,2020-02-03 12:23:44 AM,559095,hub2
Soil Temperature (°C),21.84,2020-02-03 12:23:44 AM,559095,hub2
Soil Temperature (°C),21.93,2020-02-03 12:23:45 AM,559095,hub2
Soil Temperature (°C),22.09,2020-02-03 12:23:47 AM,559095,hub2
Soil Temperature (°C),22.03,2020-02-03 12:23:48 AM,559095,hub2
Soil Temperature (°C),22.03,2020-02-03 12:23:48 AM,559095,hub2
Soil Temperature (°C),22.09,2020-02-03 12:23:49 AM,559095,hub2
Soil Temperature (°C),22.1,2020-02-03 12:23:50 AM,559095,hub2
Soil Temperature (°C),22.05,2020-02-03 12:23:51 AM,559095,hub2
Soil Temperature (°C),22.11,2020-02-03 12:23:52 AM,559095,hub2
Soil Temperature (°C),21.88,2020-02-03 12:23:53 AM,559095,hub2
Soil Temperature (°C),22.13,2020-02-03 12:23:54 AM,559095,hub2
Soil Temperature (°C),22.06,2020-02-03 12:23:55 AM,559095,hub2
Soil Temperature (°C),22.1,2020-02-03 12:23:57 AM,559095,hub2
Soil Temperature (°C),22.03,2020-02-03 12:23:58 AM,559095,hub2
Soil Temperature (°C),21.99,2020-02-03 12:23:58 AM,559095,hub2
Soil Temperature (°C),22.08,2020-02-03 12:24:00 AM,559095,hub2
Soil Temperature (°C),22.18,2020-02-03 12:24:01 AM,559095,hub2
Soil Temperature (°C),22.05,2020-02-03 12:24:02 AM,559095,hub2
Soil Temperature (°C),22.18,2020-02-03 12:24:03 AM,559095,hub2
Soil Temperature (°C),22.29,2020-02-03 12:24:04 AM,559095,hub2
Soil Temperature (°C),22.43,2020-02-03 12:24:05 AM,559095,hub2
Soil Temperature (°C),22.44,2020-02-03 12:24:06 AM,559095,hub2
Soil Temperature (°C),22.52,2020-02-03 12:24:07 AM,559095,hub2
Soil Temperature (°C),22.52,2020-02-03 12:24:08 AM,559095,hub2
Soil Temperature (°C),22.99,2020-02-03 12:24:09 AM,559095,hub2
Soil Temperature (°C),23.73,2020-02-03 12:24:10 AM,559095,hub2
Soil Temperature (°C),25.25,2020-02-03 12:24:11 AM,559095,hub2
Soil Temperature (°C),25.98,2020-02-03 12:24:12 AM,559095,hub2
Soil Temperature (°C),26.75,2020-02-03 12:24:13 AM,559095,hub2
Soil Temperature (°C),28.03,2020-02-03 12:24:14 AM,559095,hub2
Soil Temperature (°C),28.89,2020-02-03 12:24:15 AM,559095,hub2
Soil Temperature (°C),29.82,2020-02-03 12:24:16 AM,559095,hub2
Soil Temperature (°C),30.28,2020-02-03 12:24:17 AM,559095,hub2
Soil Temperature (°C),30.43,2020-02-03 12:24:18 AM,559095,hub2
Soil Temperature (°C),30.31,2020-02-03 12:24:19 AM,559095,hub2
Soil Temperature (°C),30.33,2020-02-03 12:24:20 AM,559095,hub2
Soil Temperature (°C),30.23,2020-02-03 12:24:21 AM,559095,hub2
Soil Temperature (°C),30.24,2020-02-03 12:24:22 AM,559095,hub2
Soil Temperature (°C),30.15,2020-02-03 12:24:23 AM,559095,hub2
Soil Temperature (°C),30.16,2020-02-03 12:24:24 AM,559095,hub2
Soil Temperature (°C),30.11,2020-02-03 12:24:25 AM,559095,hub2
Soil Temperature (°C),30.24,2020-02-03 12:24:26 AM,559095,hub2
Soil Temperature (°C),23.34,2020-02-03 12:33:42 AM,559095,hub2
Soil Temperature (°C),23.17,2020-02-03 12:33:43 AM,559095,hub2
Soil Temperature (°C),23.02,2020-02-03 12:33:44 AM,559095,hub2
